artista;luogo;data;orario;immagine;biglietti;mappa
Rossini Cards;Teatro dell'Opera;28/10/2023-04/11/2023;16:30;..\imgs\rossini-cards-biglietti.jpg;https://www.ticketone.it/artist/teatro-opera-roma/rossini-cards-teatro-dellopera-di-roma-3192980/?affiliate=ITT;"https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.638132412131!2d12.493083376560266!3d41.900638871239295!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61babfb5df5f%3A0xa1cdde2b5715bcc7!2sTeatro%20dell&#39;Opera!5e0!3m2!1sit!2sit!4v1683041969263!5m2!1sit!2sit"
Notre Dame e il mistero della Cattedrale;Auditorium della Conciliazione;04/11/2023;17:00;..\imgs\notre-dame-cattedrale-biglietti.jpg;https://www.ticketone.it/event/notre-dame-e-il-mistero-della-cattedrale-auditorium-conciliazione-16728385/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
Luca Ravenna;Auditorium Conciliazione;23/11/2023;21:00;..\imgs\luca-ravenna-biglietti.jpg;https://www.ticketone.it/artist/luca-ravenna/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
Luca Ravenna;Auditorium Conciliazione;24/11/2023;21:00;..\imgs\luca-ravenna-biglietti.jpg;https://www.ticketone.it/artist/luca-ravenna/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
La Bella e la Bestia;Auditorium Conciliazione;03/12/2023;15:00;..\imgs\bella-bestia-rosa-biglietti.jpg;https://www.ticketone.it/artist/bella-bestia-rosa-vita/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
A Christmas Carol Musical;Auditorium Conciliazione;08/12/2023;17:00;..\imgs\christmas-carol-musical-biglietti.jpg;https://www.ticketone.it/artist/a-christmas-carol/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
A Christmas Carol Musical;Auditorium Conciliazione;09/12/2023;17:00;..\imgs\christmas-carol-musical-biglietti.jpg;https://www.ticketone.it/artist/a-christmas-carol/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
A Christmas Carol Musical;Auditorium Conciliazione;10/12/2023;15:00;..\imgs\christmas-carol-musical-biglietti.jpg;https://www.ticketone.it/artist/a-christmas-carol/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2969.5493937939013!2d12.46103707656031!3d41.90254697123917!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f605d0678dda5%3A0xc65b1235fa352c7e!2sAuditorium%20della%20Conciliazione!5e0!3m2!1sit!2sit!4v1683042166480!5m2!1sit!2sit
Peter Pan a Fantasy Musical Story;Teatro Orione;09/12/2023;15:00;..\imgs\peter-pan-fantasy-musical-biglietti.jpg;https://www.ticketone.it/artist/peter-pan-fantasy-musical-story/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2970.6189441307342!2d12.512687976559297!3d41.87954427124163!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f61ee7ff7f65f%3A0x6ea980c215ebe10b!2sNuovo%20Teatro%20Orione!5e0!3m2!1sit!2sit!4v1683042376819!5m2!1sit!2sit
Francesco Chicchella in BiS;Teatro Olimpico ;12/12/2023;21:00;..\imgs\francesco-cicchella-biglietti.jpg;https://www.ticketone.it/artist/francesco-cicchella/francesco-cicchella-in-bis-3162373/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.45262506773!2d12.459595876561304!3d41.9261243712365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60eb37208047%3A0xde4e29b272c35741!2sTeatro%20Olimpico!5e0!3m2!1sit!2sit!4v1683041849960!5m2!1sit!2sit
Francesco Chicchella in BiS;Teatro Olimpico ;13/12/2023;21:00;..\imgs\francesco-cicchella-biglietti.jpg;https://www.ticketone.it/artist/francesco-cicchella/francesco-cicchella-in-bis-3162373/?affiliate=ITT;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.45262506773!2d12.459595876561304!3d41.9261243712365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60eb37208047%3A0xde4e29b272c35741!2sTeatro%20Olimpico!5e0!3m2!1sit!2sit!4v1683041849960!5m2!1sit!2sit
Edoardo Leo - Speciale Capodanno;Auditorium Parco della Musica;31/12/2023;22:00;..\imgs\edoardo-leo-capodanno-biglietti.jpg;https://www.ticketone.it/event/edoardo-leo-speciale-capodanno-auditorium-parco-della-musica-ennio-morricone-16554224/;https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2968.3239145850125!2d12.472261776561455!3d41.92889057123616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x132f60dd1242b2db%3A0x32e262ed650274c0!2sAuditorium%20Parco%20della%20Musica!5e0!3m2!1sit!2sit!4v1683042014961!5m2!1sit!2sit
